[zh-CN]
acetylene;乙炔
acid;酸
air_mails;航空邮件
aircft_tires;飞机轮胎
aircond;空调设备
aircraft_eng;飞机引擎
aljoinery;铝合金细木工
almond;杏仁
ammunition;弹药
apples;苹果
apples_c;苹果
aquariums;养鱼缸
aromatics;芳烃
arsenic;砷
asph_miller;沥青铣刨机 - 惠特根808
atl_cod_flt;大西洋鳕鱼片
backfl_prev;止回阀
barley;大麦
basil;罗勒
beans;豆子
beef_meat;牛肉
beer;啤酒
beverages;饮料
beverages_c;饮料
big_bag_seed;大袋装种子
boat;船
boiler_parts;锅炉零件（特种运输）
boric_acid;硼酸
bottle_water;瓶装水
bottles;空瓶子
brake_fluid;制动液
brake_pads;刹车片
bricks;砖
bulldozer;推土机
butter;黄油
cable;线缆
cable_reel;工业电缆盘
can_sardines;罐装沙丁鱼
canned_beans;罐装豆子
canned_beef;罐装牛肉
canned_fish;鱼罐头
canned_pork;罐装猪肉
canned_tuna;罐装金枪鱼
car_balt1;轿车（波罗的海1）
car_balt2;轿车（波罗的海2）
car_it;轿车（意大利）
caravan;Caravan
carb_water;苏打水
carbn_pwdr;炭黑粉
carbn_pwdr_c;炭黑粉
carcomp;汽车零件
carengines;汽车发动机
carrots;胡萝卜
carrots_c;胡萝卜
cars_big;轿车（大）
cars_fr;轿车（法国）
cars_mix;轿车（混合）
cars_pickup;轿车（皮卡）
cars_small;轿车（小）
case600;履带拖拉机
cat_785c;矿用自卸车车体（特种运输）
cat627;铲运机
cauliflower;菜花
caviar;鱼子酱
cement;水泥
cement_dry;干水泥
cheese;奶酪
chem_sorb_c;化学吸附剂
chem_sorbent;化学吸附剂
chemicals;化学品
chewing_gums;口香糖
chicken_meat;鸡肉
chimney_syst;烟囱系统
chlorine;氯
chocolate;巧克力
circulators;循环器
cleaners;清洁剂
clothes;服装
clothes_c;服装
coal;煤
coconut_milk;椰奶
coconut_oil;椰油
coil;电缆盘
colors;油漆
comp_process;电脑处理器
computers;计算机
concen_juice;浓缩果汁
concr_beams;混凝土梁（重载）
concr_beams2;混凝土梁
concr_cent;混凝土拱架
concr_stair;混凝土楼梯
condensator;工业凝结器（特种运输）
const_house;简易房
cont_trees;集装箱树木
contamin;污染的材料
copp_rf_gutt;铜制屋顶排水沟
corks;软木
cott_cheese;干酪
crude_oil;原油
ctubes;水泥管（小）
ctubes_b;水泥管（大）
curtains;窗帘
cut_flowers;鲜花
cyanide;氰化物
daf_tr;卡车 达夫
dairy;日用品
desinfection;消毒剂
diesel;柴油
diesel_gen;柴油发电机
digger1000;轮式装载机
digger500;反铲装载机
diggers;装载机
dozer;推土机 - Z35K
driller;钻孔机 D-50
dry_fruit;干水果
dry_milk;奶粉
dryers;烘干机
drymilk;奶粉
dynamite;炸药
elect_wiring;电线
electro_comp;电子元件
electronics;电子产品
emp_wine_bar;空红酒桶
emp_wine_bot;空红酒瓶
empty_barr;空油桶
empty_logs;空原木挂车
empty_palet;空托盘
emptybottles;空瓶
emptytank;储液罐
ethane;乙烷
ex_bucket;挖掘机铲斗（特种运输）
excav_soil;工程渣土
excavator;挖掘机
excavator_bucket;挖掘机铲斗（特种运输）
exhausts_c;排气系统
explosives;炸药
