[ko-KR]
aalborg;올보르
aberdeen;애버딘
alban;생 알방 듀 혼느
amsterdam;암스테르담
ancona;안코나
bari;바리
bergen;베르겐
berlin;베를린
bern;베른
bialystok;비아위스토크
birmingham;버밍엄
bologna;볼로냐
bordeaux;보르도
bourges;부르주
bratislava;브라티슬라바
bremen;브레멘
brest;브레스트
brno;브르노
brussel;브뤼셀
budapest;부다페스트
bystrica;반스카 비스트리차
cagliari;칼리아리
calais;칼레
cambridge;케임브리지
cardiff;카디프
carlisle;칼라일
cassino;카시노
catania;카타니아
catanzaro;카탄차로
civaux;시보
clermont;클레르몽
daugavpils;다우가프필스
debrecen;데브레첸
dijon;디종
dortmund;도르트문트
dover;도버
dresden;드레스덴
duisburg;뒤스부르크
dusseldorf;뒤셀도르프
edinburgh;에든버러
erfurt;에르푸르트
esbjerg;에스비에르
felixstowe;펠릭스토우
firenze;피렌체
frankfurt;프랑크푸르트 암 마인
frederikshv;프레데릭스하운
gdansk;그단스크
gedser;게세르
geneve;제네바
genova;제노바
glasgow;글래스고
golfech;골페슈
goteborg;예테보리
graz;그라츠
grimsby;그림즈비
groningen;흐로닝언
hamburg;함부르크
hannover;하노버
helsingborg;헬싱보리
helsinki;헬싱키
hirtshals;히르트스할스
innsbruck;인스브루크
jonkoping;옌셰핑
kaliningrad;칼리닌그라드
kalmar;칼마르
kapellskar;카펠스카
karlskrona;칼스크로나
kassel;카셀
katowice;카토비체
kaunas;카우나스
kiel;킬
klagenfurt;클라겐푸르트 암 뵈르테제
klaipeda;클라이페다
kobenhavn;코펜하겐
koln;쾰른
kosice;코시체
kotka;코트카
kouvola;코우볼라
krakow;크라쿠프
kristiansand;크리스티안산
kunda;쿤다
lahti;라티
larochelle;라로셀
laurent;생로랑
lehavre;르아브르
leipzig;라이프치히
lemans;르망
liege;리에주
liepaja;리예파야
lille;릴
limoges;리모주
linkoping;린셰핑
linz;린츠
liverpool;리버풀
livorno;리보르노
lodz;우치
london;런던
loviisa;로비사
lublin;루블린
luga;루가
luxembourg;룩셈부르크
lyon;리옹
magdeburg;마그데부르크
malmo;말뫼
manchester;맨체스터
mannheim;만하임
marseille;마르세유
mazeikiai;마제이카이아이
messina;메시나
metz;메스
milano;밀라노
montpellier;몽펠리에
munchen;뮌헨
naantali;난탈리
nantes;낭트
napoli;나폴리
narva;나르바
newcastle;뉴캐슬 어폰 타인
nice;니스
nurnberg;뉘른베르크
nynashamn;뉘네스함
odense;오덴세
olbia;올비아
olkiluoto;올킬루오토
olsztyn;올슈틴
orebro;외레브로
oslo;오슬로
osnabruck;오스나브뤼크
ostrava;오스트라바
paldiski;팔디스키
palermo;팔레르모
paluel;팔루엘
panevezys;파네베지스
paris;파리
parma;파르마
parnu;패르누
pecs;페치
pescara;페스카라
petersburg;상트페테르부르크
plymouth;플리머스
pori;포리
poznan;포즈난
prague;프라하
pskov;프스코프
reims;랭스
rennes;렌
rezekne;레제크네
riga;리가
roma;로마
roscoff;로스코프
rostock;로스토크
rotterdam;로테르담
salzburg;잘츠부르크
sassari;사사리
sheffield;셰필드
siauliai;샤울라이
sodertalje;쇠데르텔리에
sosnovy_bor;소스노비보르
southampton;사우샘프턴
stavanger;스타방에르
stockholm;스톡홀름
strasbourg;스트라스부르
stuttgart;슈투트가르트
suzzara;수자라
swansea;스완지
szczecin;슈체친
szeged;세게드
tallinn;탈린
tampere;탐페레
taranto;타란토
tartu;타르투
terni;테르니
torino;토리노
toulouse;툴루즈
travemunde;트라베뮌데
trelleborg;트렐레보리
turku;투르쿠
uppsala;웁살라
utena;우테나
valmiera;발미에라
vasteraas;베스테로스
vaxjo;벡셰
venezia;베네치아
ventspils;벤츠필스
verona;베로나
vilnius;빌뉴스
vyborg;비보르크
warszawa;바르샤바
wien;비엔나
wroclaw;브로츠와프
zurich;취리히
