[zh-CN]
+all;全部
+unsorted;未知
aland;奥兰群岛
albania;阿尔巴尼亚
andorra;安道尔
arizona;亚利桑那州
austria;奥地利
belarus;白罗斯
belgium;比利时
bosnia;波黑
bulgaria;保加利亚
california;加利福尼亚州
croatia;克罗地亚
cyprus;塞浦路斯
czech;捷克
denmark;丹麦
egypt;埃及
estonia;爱沙尼亚
faroe;法罗群岛
finland;芬兰
france;法国
georgia;格鲁吉亚
germany;德国
greece;希腊
hungary;匈牙利
iceland;冰岛
iom;马恩岛
iraq;伊拉克
ireland;爱尔兰
israel;以色列
italy;意大利
jersey;泽西岛
jordan;约旦
latvia;拉脱维亚
lebanon;黎巴嫩
liecht;列支敦士登
lithuania;立陶宛
luxembourg;卢森堡
macedonia;北马其顿
mnegro;黑山
moldova;摩尔多瓦
monaco;摩纳哥
netherlands;荷兰
nevada;内华达州
new_mexico;新墨西哥州
nireland;北爱尔兰
norway;挪威
oregon;俄勒冈州
poland;波兰
portugal;葡萄牙
romania;罗马尼亚
russia;俄罗斯
saudia;沙特阿拉伯
serbia;塞尔维亚
slovakia;斯洛伐克
slovenia;斯洛文尼亚
spain;西班牙
svalbard;斯瓦尔巴群岛
sweden;瑞典
switzerland;瑞士
syria;叙利亚
turkey;土耳其
uk;英国
ukraine;乌克兰
utah;犹他州
washington;华盛顿州
westbank;巴勒斯坦
