[nl-NL]
+all;Alle
+unsorted;Ongersorteerd
austria;Oostenrijk
belgium;België
bulgaria;Bulgarije
czech;Tsjechië
denmark;Denemarken
estonia;Estland
france;Frankrijk
germany;Duitsland
hungary;Hongarije
italy;Italië
latvia;Letland
lithuania;Litouwen
luxembourg;Luxemburg
netherlands;Nederland
norway;Norwegen
poland;Polen
romania;Roemenië
russia;Rusland
slovakia;Slowakije
sweden;Zweden
switzerland;Zwitzerland
turkey;Turkije
uk;Verenigd Koninkrijk
california;Californië
aland;Åland
albania;Albanië
andorra;Andorra
belarus;Wit-Rusland
bosnia;Bosnië en Herzegovina
croatia;Kroatië
faroe;Faeröer
georgia;Georgië
greece;Griekenland
iceland;IJsland
ireland;Ierland
liecht;Liechtenstein
macedonia;Noord-Macedonië
moldova;Moldavië
nireland;Noord-Ierland
serbia;Servië
slovenia;Slovenië
spain;Spanje
svalbard;Spitsbergen
ukraine;Ukraïne
egypt;Egypte
iraq;Irak
israel;Israël
jordan;Jordanië
lebanon;Libanon
saudia;Saudi-Arabië
syria;Syrië
westbank;Westelijke Jordaanoever
