[ja-JP]
aberdeen;アバディーン
amsterdam;アムステルダム
berlin;ベルリン
bern;ベルン
birmingham;ベリンハム
bratislava;ブラチスラヴァ
bremen;ブレーメン
brno;ブルノ
brussel;ブリュッセル
calais;カレー
cambridge;ケンブリッジ
cardiff;カーディフ
carlisle;カーライル
dijon;ディジョン
dortmund;ドルトムント
dover;ドーバー
dresden;ドレスデン
duisburg;デュースブルク
dusseldorf;デュッセルドルフ
edinburgh;エディンバラ
erfurt;エアフルト
felixstowe;フェリックストー
frankfurt;フランクフルト・アム・マイン
geneve;ジュネーヴ
glasgow;グラスゴー
graz;グラーツ
grimsby;グリムズビー
groningen;フローニンゲン
hamburg;ハンブルグ
hannover;ハノーファー
innsbruck;インスブルック
kassel;カッセル
kiel;キール
klagenfurt;クラーゲンフルト・アム・ヴェルターゼー
koln;ケルン
leipzig;ライプツィヒ
liege;リエージュ
lille;リール
linz;リンツ
liverpool;リバプール
london;ロンドン
luxembourg;ルクセンブルク
lyon;リヨン
magdeburg;マクデブルグ
manchester;マンチェスター
mannheim;マンハイム
metz;メス
milano;マルメー
munchen;ミュンヘン
newcastle;ニューカッスル・アポン・タイン
nurnberg;ニュルンベルグ
osnabruck;オスナブリュック
paris;パリ
plymouth;プリマス
poznan;ポズナン
prague;プラハ
reims;ランス
rostock;ロストック
rotterdam;ロッテルダム
salzburg;ザルツブルグ
sheffield;シェフィールド
southampton;サウザンプトン
strasbourg;ストラスブール
stuttgart;シュツットガルト
swansea;スウォンシー
szczecin;シチェチン
torino;トリノ
travemunde;トラーヴェミュンデ
venezia;ヴェネツィア
verona;ヴェローナ
wien;ウィーン
wroclaw;ヴロツワフ
zurich;チューリッヒ
bialystok;ビャウィストク
budapest;ブダペスト
bystrica;バンスカー　ビストリツァ
debrecen;デブレツェン
gdansk;グダニスク
katowice;カトウィツェ
kosice;コシツェ
krakow;クラクフ
lodz;ウッチ
lublin;ルブリン
olsztyn;オルシュテイン
ostrava;オストラヴァ
pecs;ペーチ
szeged;セゲド
warszawa;ワルシャワ
aalborg;オールボー
bergen;ベルゲン
esbjerg;エスビャー
frederikshv;フレゼリクスハウン
gedser;ゲッサー
goteborg;ヨーテボリ
helsingborg;ヘルシンボリ
hirtshals;ヒャツハルス
jonkoping;ヨンショーピング
kalmar;カルマル
kapellskar;カペルシャー
karlskrona;カールスクルーナ
kobenhavn;コペンハーゲン
kristiansand;クリスチャンサン
linkoping;リンシェーピング
malmo;ミラノ
nynashamn;ニュネスハムン
odense;オーデンセ
orebro;エレブルー
oslo;オスロ
sodertalje;セーデルテリエ
stavanger;スタヴァンゲル
stockholm;ストックホルム
trelleborg;トレレボリ
uppsala;ウプサラ
vasteraas;ヴェステローズ
vaxjo;ベクショー
ajaccio;アジャクシオ
alban;サン＝タルバン＝デュ＝ローヌ
bastia;バスティア
bonifacio;ボニファシオ
bordeaux;ボルドー
bourges;ブールジュ
brest;ブレスト
calvi;カルビ
civaux;シヴォー
clermont;クレルモン＝フェラン
golfech;ゴルフシュ
larochelle;ラ・ロシェル
laurent;サン＝ローラン
lehavre;ル・アーヴル
lemans;ル・マン
lile_rousse;リル＝ルッス
limoges;リモージュ
marseille;マルセイユ
montpellier;モンペリエ
nantes;ナント
nice;ニース
paluel;パリュエル
porto_vecchi;ポルト=ベッキオ
rennes;レンヌ
roscoff;ロスコフ
toulouse;トゥールーズ
ancona;アンコーナ
bari;バーリ
bologna;ボローニャ
cagliari;カリャリ
cassino;カッシーノ
catania;カターニア
catanzaro;カタンザーロ
firenze;フィレンツェ
genova;ジェノヴァ
livorno;リヴォルノ
messina;メッシーナ
napoli;ナポリ
olbia;オリビア
palermo;パレルモ
parma;パルマ
pescara;ペスカーラ
roma;ローマ
sangiovanni;ヴィッラ・サン・ジョヴァンニ
sassari;サッサリ
suzzara;スッサーラ
taranto;ターラント
terni;テルニ
daugavpils;ダウカフピルス
helsinki;ヘルシンキ
kaliningrad;カリーニングラード
kaunas;カウナス
klaipeda;クライペダ
kotka;コトカ
kouvola;コウヴォラ
kunda;クンダ
lahti;ラハティ
liepaja;リエパーヤ
loviisa;ロヴィーサ
luga;ルーガ
mazeikiai;マジェイケイ
naantali;ナーンタリ
narva;ナルヴァ
olkiluoto;オルキルオト
paldiski;パルディスキ
panevezys;パネヴェジース
parnu;パルヌ
petersburg;サンクトペテルブルグ
pori;ポリ
pskov;プスコフ
rezekne;レーゼクネ
riga;リガ
siauliai;シャウレイ
sosnovy_bor;ソスノヴィ・ボール
tallinn;タリン
tampere;タンペレ
tartu;タルトゥ
turku;トゥルク
utena;ウテナ
valmiera;ヴァルミエラ
ventspils;ヴェンツピルス
vilnius;ヴィリニュス
vyborg;ヴィボルグ
bakersfield;ベーカーズフィールド
barstow;バーストー
carlsbad;カールズバッド
el_centro;エル　セントロ
eureka;ユーレカ
fresno;フレズノ
hornbrook;ホーンブルック
huron;ヒューロン
los_angeles;ロサンゼルス
oakdale;オークデール
oakland;オークランド
oxnard;オックスナード
redding;レディング
sacramento;サクラメント
san_diego;サンディエゴ
san_francisc;サンフランシスコ
san_rafael;サンラフェル
santa_cruz;サンタクルーズ
santa_maria;サンタマリア
stockton;ストックトン
truckee;トラッキー
ukiah;ユカイア
carson_city;カーソンシティ
elko;エルコ
ely;イーリー
jackpot;ジャックポット
las_vegas;ラスベガス
pioche;ピオッシュ
primm;プリム
reno;リノ
tonopah;トノパー
winnemucca;ウィネマッカ
camp_verde;キャンプヴェルデ
clifton;クリフトン
ehrenberg;エーレンバーグ
flagstaff;フラッグスタッフ
g_canyon_vlg;グランドキャニオンビレッジ
holbrook;ホールブルック
kayenta;カエンタ
kingman;キングマン
nogales;ノガレス
page;ページ
