[pt-BR]
acetylene;Acetileno
acid;Ácido
air_mails;Correio aéreo
aircft_tires;Pneus para aeronaves
aircond;Arcondicionado
almond;Amêndoa
ammunition;Munição
apples;Maçãs
apples_c;Maçãs
aromatics;Aromatico
arsenic;Arsênico
asph_miller;Moedor de Asfalto - Writigen 808
atl_cod_flt;Filé de bacalhau do Atlântico
backfl_prev;Preventores de Retorno
barley;Cevada
basil;Manjericão
beans;Feijões
beef_meat;Carne
beverages;Bebidas
beverages_c;Bebidas
big_bag_seed;Sacos grandes de sementes
boiler_parts;Peça da caldeira (especial)
boric_acid;Ácido bórico
bottle_water;Água engarrafada
bottles;Garrafas vazias
brake_fluid;Fluido de freio
brake_pads;Pastilhas de freio
bricks;Tijolos
bulldozer;Escavadeira
butter;Manteiga
cable;Cabos
cable_reel;Carretel de cabo industrial
can_sardines;Sardinhas enlatadas
canned_beans;Feijões enlatados
canned_beef;Carne enlatada
canned_pork;Carne de porco enlatada
canned_tuna;Atum enlatado
car_balt1;Carros (Báltico 1)
car_balt2;Carros (Báltico 2)
car_it;Carros (Itália)
caravan;Reboque
carb_water;Água com gás
carbn_pwdr;Carbono em pó
carbn_pwdr_c;Carbono em pó
carcomp;Componentes de carro
carrots;Cenouras
carrots_c;Cenouras
cars_big;Carros grandes
cars_fr;Carros (França)
cars_mix;Carros mistos
cars_small;Carros pequenos
case600;Trator de esteiras
cat_785c;Raspador
cat627;Chassi de caminhão de transporte (Especial)
cauliflower;Couve-flor
caviar;Caviar
cement;Cimento
cheese;Queijo
chem_sorb_c;Sorbente químico
chem_sorbent;Sorbente químico
chemicals;Produtos quimicos
chewing_gums;Pastilhas elásticas
chicken_meat;Carne de frango
chimney_syst;Sistemas de chaminé
chlorine;Cloro
chocolate;Chocolate
clothes;Roupas
clothes_c;Roupas
coal;Carvão
coconut_milk;Leite de côco
coconut_oil;Óleo de côco
coil;Bobina de metal
colors;Cores
comp_process;Processadores de computador
computers;Computador
concen_juice;Sucos concentrados
concr_beams;Vigas de concreto
concr_beams2;Vigas de concreto
concr_cent;Centralização de concreto
concr_stair;Escadas em concreto
condensator;Capacitor industrial (Especial)
const_house;Materiais de construção
cont_trees;Árvores em contêineres
contamin;Material contaminado
copp_rf_gutt;Calhas pluviais em cobre
corks;Cortiças
cott_cheese;Queijo tipo cottage
ctubes;Tubos de concreto
ctubes_b;Tubos de concreto_b
curtains;Cortinas
cut_flowers;Flores cortadas
cyanide;Cianeto
desinfection;Desinfetante
diesel;Diesel
diesel_gen;Geradores a diesel
digger1000;Escavadeira 1000
digger500;Escavadeira 500
diggers;Escavadeiras
dozer;Trator de esteira - Z35K
driller;Perfurador - D-50
dry_fruit;Frutas secas
dry_milk;Leite em pó
dryers;Secadoras
drymilk;Leite em pó
dynamite;Dinamite
elect_wiring;Fiação elétrica
electro_comp;Componentes eletrônicos
electronics;Eletrônicos
emp_wine_bar;Barris de vinho vazios
emp_wine_bot;Garrafas de vinho vazias
empty_barr;Barris vazios
empty_palet;Paletes vazias
emptytank;Tanque reservatório
ethane;Etano
ex_bucket;Caçamba para escavadeira (Especial)
